item_id,item_name,item_type,item_rarity,item_series,item_set,item_intro_chapter,item_intro_season,item_added
Backpack_CamelGram,Eagly,backpack,dc,DC SERIES,Peacemaker,6,5,2025-09-10T10:59:51Z
Backpack_CameraShake,Ball In Play,backpack,rare,,Fortnite Football Club,4,3,2023-07-28T00:00:00Z
Backpack_CampusSire,DRG Backpack,backpack,gaminglegends,Gaming Legends Series,Deep Rock Galactic,6,5,2025-08-30T00:00:00Z
Backpack_CampWrench,Sue's Fantastic Logo,backpack,marvel,MARVEL SERIES,Fantastic Four: First Steps,6,4,2025-07-22T19:09:15Z
Backpack_Candor,Lectro Guard Pack,backpack,legendary,,Syndicate Scout,3,4,2022-09-18T10:05:15Z
Backpack_CanineCronutDig,"Dynamite, The Exploder",backpack,icon,Icon Series,"Tyler, The Creator",6,6,2025-11-14T14:44:13Z
Backpack_CanineCronutMix,Mini Tyler,backpack,icon,Icon Series,"Tyler, The Creator",6,6,2025-11-14T14:44:13Z
Backpack_CanineCronut_DrumStick,Earfshaker,backpack,icon,Icon Series,"Tyler, The Creator",6,6,2025-11-14T14:44:13Z
Backpack_CanineCronut_Mic,CHROMA VOX,backpack,icon,Icon Series,"Tyler, The Creator",6,6,2025-11-14T14:44:13Z
Backpack_CanvasPrint,Lil' Toasty,backpack,icon,Icon Series,Welcome to the Melloverse,5,4,2024-10-31T00:00:00Z
Backpack_CanyonVale,Shield of the Greatest,backpack,rare,,Go Goated,7,3,2026-06-09T17:00:37Z
Backpack_CaptainShine_Guitar,The Helm,backpack,rare,,,7,3,2026-07-16T08:32:04Z
Backpack_CarbideWeld,Charge Pack,backpack,rare,,Omega Engage,6,4,2025-06-07T19:01:48Z
Backpack_Cardboard_Drum,Pit Kit,backpack,rare,,,,,2025-02-03T00:00:00Z
Backpack_CarolinaChili,Liquid Regret,backpack,rare,,Well-Seasoned,5,3,2024-06-22T08:21:26Z
Backpack_CarrotCake,Miss Minutes,backpack,marvel,MARVEL SERIES,Loki,5,2,2024-05-05T16:03:20Z
Backpack_CashewRoll,Android 17 Backpack,backpack,rare,,Dragon Ball,5,3,2024-08-10T00:00:00Z
Backpack_CashmereScarf,Skeletal Snowtote,backpack,rare,,Sleet and Stealth,6,1,2024-12-18T12:19:13Z
Backpack_CasinoReaper,Royale Backplate,backpack,rare,,Quinn of Spades,6,2,2025-02-21T12:17:00Z
Backpack_CataclysmCity,Violet Eye,backpack,rare,,Lavender Gamer,6,3,2025-05-02T13:15:59Z
Backpack_CataclysmTower,Golden Gauntlet,backpack,rare,,Golden Gamer,6,2,2025-03-11T08:32:47Z
Backpack_CatSpace,Galactic Powerpack,backpack,rare,,Interstellar Aerial,5,1,2024-02-08T07:29:35Z
Backpack_CattleJar,Peelverine Plush,backpack,marvel,MARVEL SERIES,Meowtooth,5,4,2024-08-17T06:38:59Z
Backpack_CatTree_Drum,The Woodworker,backpack,rare,,,,,2025-05-22T01:55:14Z
Backpack_CavalryAlt,Saint's Legacy,backpack,rare,,Saint Academy,3,4,2022-10-18T23:49:57Z
Backpack_CellSeed,Frozenheart Wings,backpack,epic,,,7,3,2026-06-06T03:03:15Z
Backpack_CephaloChef,Fresh Floppers,backpack,rare,,Tako Time,6,5,2025-08-26T08:18:15Z
Backpack_CeremonialGuard,Society Shield,backpack,epic,,En Garde,5,1,2023-12-04T16:12:17Z
Backpack_CeremonialGuard_Drum,High Society Clasher,backpack,rare,,,,,2025-01-29T00:00:00Z
Backpack_Chainmail,Double Header,backpack,epic,,Night Game,4,1,2022-12-04T18:22:30Z
Backpack_ChaosDarkIce,Frozen Oculara,backpack,rare,,Coldest Circles,4,2,2023-05-21T09:32:09Z
Backpack_CheckMate_Drum,Checkmate,backpack,rare,,,,,2025-02-03T00:00:00Z
Backpack_ChefTartar,Mad Tracker,backpack,rare,,Nike Football,7,3,2026-06-29T17:01:13Z
Backpack_ChemPencil,Combi-Chem Cylinder,backpack,rare,,Gamma Wavebreak,6,2,2025-03-25T17:24:52Z
Backpack_CherryKnot,Cooler the Red,backpack,rare,,High Stakes Summer,7,3,2026-06-25T12:03:20Z
Backpack_ChessBoard,Sylvie's Crown,backpack,marvel,MARVEL SERIES,Loki,5,2,2024-05-05T16:03:20Z
Backpack_ChewyStaveCurve,Vini's Game Day Gear,backpack,icon,Icon Series,Vini Jr.,7,3,2026-06-09T13:00:53Z
Backpack_ChewyStaveGerm,VJR Glow,backpack,icon,Icon Series,Vini Jr.,7,3,2026-06-09T13:00:53Z
Backpack_ChicleVeil,Scavenger's Kit,backpack,epic,,Relic Reinventor,4,4,2023-09-26T14:25:42Z
Backpack_ChiliAbide,Beskar Mythosaur,backpack,starwars,Star Wars Series,The Mandalorian,7,2,2026-05-18T16:00:58Z
Backpack_ChiliAbide_Guitar,Modified Beskar Hallikset,backpack,starwars,Star Wars Series,The Mandalorian,7,2,2026-05-18T16:00:58Z
Backpack_ChillCat,Sardeenz!,backpack,epic,,Cali-Cool,3,4,2022-09-18T10:05:15Z
Backpack_ChimeCurlCorn,Louis Plushie,backpack,icon,Icon Series,LISA,7,1,2025-11-29T19:00:00Z
Backpack_ChimeCurlCorn_Mic,LISA's Classic Mic,backpack,icon,Icon Series,LISA,7,1,2025-11-29T19:00:00Z
Backpack_ChimeCurlTell,Rock-STAR,backpack,icon,Icon Series,LISA,7,1,2025-11-29T20:57:37Z
Backpack_ChimeCurl_Mic,LISA's Rockstar Mic,backpack,icon,Icon Series,LISA,7,1,2025-11-29T20:57:37Z
Backpack_ChipSalad_Guitar,Cascade,backpack,rare,,,,,2025-11-02T20:05:32Z
Backpack_ChiveFlake,BMO,backpack,rare,,Adventure Time,6,2,2025-04-10T14:02:44Z
Backpack_ChiveFlake_Keytar,Lumpy Space Piano,backpack,rare,,Adventure Time,,,2025-04-12T00:00:00Z
Backpack_ChoiceCrave,Red Spider Lily,backpack,gaminglegends,Gaming Legends Series,Honkai: Star Rail,7,1,2026-02-27T00:00:00Z
Backpack_ChromeSiren_Guitar,The Seven Six-String,backpack,rare,,The New Seven,7,3,2026-07-30T13:11:09Z
Backpack_ChubbyJingle,Chockablock Cookie Sock,backpack,rare,,Jingle Pig,7,1,2025-12-18T10:38:26Z
Backpack_ChunkTiara,Crown Ball,backpack,gaminglegends,Gaming Legends Series,Fall Guys Crown Jam,7,1,2026-01-22T14:03:14Z
Backpack_CiderPetalClover,Beckham's Number,backpack,icon,Icon Series,David Beckham,7,3,2026-07-16T16:00:35Z
Backpack_CiderPetalFlax,Club Crest,backpack,icon,Icon Series,David Beckham,7,3,2026-07-16T16:00:35Z
Backpack_CinderGale,Dustin's Backpack,backpack,rare,,Stranger Things,6,6,2025-11-20T15:08:06Z
Backpack_CinderMax,Electric Shredder,backpack,epic,,Rock Ranger,4,3,2023-06-12T21:47:52Z
Backpack_CirrusVine,Sith Probe Droid,backpack,starwars,Star Wars Series,The Prequel Trilogy,4,2,2023-05-02T12:59:13Z
Backpack_Citadel,Protector of the Pledge,backpack,legendary,,Dominion's Dawn,4,1,2022-12-04T18:22:30Z
Backpack_CitadelCape,Noble Shroud,backpack,legendary,,Dominion's Dawn,4,1,2022-12-04T18:22:30Z
Backpack_CitrusSpoon,Omni-Head,backpack,rare,,The Incredibles,5,4,2024-09-28T00:00:00Z
Backpack_ClaimReflect,Shattered Halo Ring,backpack,gaminglegends,Gaming Legends Series,Spartan Operations,6,5,2025-08-07T09:33:19Z
Backpack_ClaimReflect_DrumStick,Warthog Beat,backpack,gaminglegends,Gaming Legends Series,Spartan Operations,6,5,2025-09-11T00:00:00Z
Backpack_ClawedRaven,Ravening Roostbag,backpack,rare,,Feathermore,5,4,2024-09-17T08:31:42Z
Backpack_ClawMachine,Cuddlemania Clawz,backpack,uncommon,,,4,2,2023-05-21T09:32:09Z
Backpack_ClawPadHost,Imperial Holo,backpack,starwars,Star Wars Series,Original Trilogy,6,3,2025-05-02T13:15:59Z
Backpack_ClayPlug,Evil Twin Tanks,backpack,icon,Icon Series,Eminem,2,Remix,2024-11-05T16:31:13Z
Backpack_ClearRadius,Basement Key,backpack,epic,,Special Operations Squad,4,2,2023-03-12T08:46:29Z
Backpack_CleverEdge,Frieza's Pod,backpack,epic,,Dragon Ball,5,1,2023-12-07T17:39:21Z
Backpack_ClimbSpill,Stuffed Mr. Teeny,backpack,rare,,The Simpsons,6,6,2025-11-02T20:05:32Z
Backpack_CloakedIron,Prince's Wings,backpack,rare,,Fire & Brimstone,6,4,2025-06-18T09:06:01Z
Backpack_ClumsyChew,Bamboo Patch,backpack,rare,,Panda-monium,6,5,2025-08-07T09:33:19Z
Backpack_CoatCheck,Winged Victory,backpack,rare,,Nike Victory,5,2,2024-04-23T08:26:50Z
Backpack_CoconutShell,Woodsprite,backpack,rare,,Avatar: Warriors of Pandora,6,1,2025-02-15T00:00:00Z
Backpack_ColdGrain,Cold Caged Mantle,backpack,rare,,,7,2,2026-05-14T10:11:56Z
Backpack_ColdTrophy,Sprite Mastery Pod,backpack,rare,,,7,3,2026-06-06T03:03:15Z
